pid,start_time,end_time,epoch_start,epoch_end,complete_title,media_type,masterbrand,service,brand_pid,is_clip,categories,tags
b00h8t18,1233827220,1234432020,2009-02-05T09:47:00,2009-02-12T09:47:00,in_our_time:_the_brothers_grimm,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media],[germany.cultural_history.19th_century.literature.romanticism]
b007k1tj,1234445535,1235050335,2009-02-12T13:32:15,2009-02-19T13:32:15,bram_stokers_dracula:_episode_5,audio,bbc_7,bbc_7,,0,[9100003:1:drama.9200022:2:horror_and_supernatural],[]
b00f6m35,1235117818,1235722618,2009-02-20T08:16:58,2009-02-27T08:16:58,big_and_small:_series_1:_the_big_sneeze,video,cbeebies,cbeebies,b00nkbxp,0,[signed:1:signed.9100004:1:learning.9200037:2:pre-school],[]
b00hwvv0,1235266414,1235871214,2009-02-22T01:33:34,2009-03-01T01:33:34,cuirm_@_celtic:_2009:_dÖimh_and_moonlighting,video,bbc_alba,bbc_alba,b012788g,0,[9100095:1:scotland.9100006:1:music],[]
b0078p4q,1235551040,1236155840,2009-02-25T08:37:20,2009-03-04T08:37:20,talk_german:_episodes_1-6,video,bbc_two,bbc_two,b006vcqk,0,[9100004:1:learning.9200039:2:secondary.9200040:2:adult],[]
b00r7m6p,1235586976,1236191776,2009-02-25T18:36:16,2009-03-04T18:36:16,3rd_and_bird:_series_1:_the_rudy_show,video,cbeebies,cbeebies,b00cdv9q,0,[9100004:1:learning.9200037:2:pre-school.9100001:1:childrens.9200002:2:entertainment_and_comedy.9200999:2:animation],[]
b00cz4h7,1235673407,1236278207,2009-02-26T18:36:47,2009-03-05T18:36:47,3rd_and_bird:_series_1:_super_slide,video,cbeebies,cbeebies,b00cdv9q,0,[9100004:1:learning.9200037:2:pre-school.9100001:1:childrens.9200002:2:entertainment_and_comedy.9200999:2:animation],[]
b00hw3yr,1235693257,1236298057,2009-02-27T00:07:37,2009-03-06T00:07:37,touring_britain:_the_victorian_way,video,bbc_four,bbc_four,,0,[signed:1:signed.9100005:1:factual.9200047:2:cars_and_motors.9200055:2:history.9300054:1:lifestyle_and_leisure.9200060:2:travel],[]
b00hzj5y,1235761153,1236365953,2009-02-27T18:59:13,2009-03-06T18:59:13,lockie_leonard:_series_one:_angels_and_monsters,video,cbbc,cbbc,b00tcwj6,0,[signed:1:signed.9100001:1:childrens.9200002:2:entertainment_and_comedy],[]
b00f8qlk,1235916991,1236521791,2009-03-01T14:16:31,2009-03-08T14:16:31,the_sarah_jane_adventures:_series_2:_secrets_of_the_stars:_part_2,video,cbbc,cbbc,b006qgb3,0,[dubbedaudiodescribed:1:audio_described.signed:1:signed.9100001:1:childrens.9200003:2:drama],[]
b007k0x8,1235953842,1236558642,2009-03-02T00:30:42,2009-03-09T00:30:42,colin_and_ferguss_digi_radio:_series_2:_episode_1,audio,bbc_7,bbc_7,b00fq4pd,0,[9100098:1:comedy.9200011:2:sketch],[]
b00fv8xx,1236105469,1236710269,2009-03-03T18:37:49,2009-03-10T18:37:49,3rd_and_bird:_series_1:_samuels_dance,video,cbeebies,cbeebies,b00cdv9q,0,[9100001:1:childrens.9200002:2:entertainment_and_comedy],[]
b00dsl8d,1236115355,1236720155,2009-03-03T21:22:35,2009-03-10T21:22:35,secret_wales:_episode_3,video,bbc_two_wales_digital,bbc_two,,0,[9100097:1:wales.9100005:1:factual.9200059:2:science_and_nature.9300054:1:lifestyle_and_leisure.9200060:2:travel],[]
b00795vr,1236155988,1236760788,2009-03-04T08:39:48,2009-03-11T08:39:48,numberjacks:_series_1:_say_what_you_mean,video,cbeebies,cbeebies,b006mhcr,0,[signed:1:signed.9100004:1:learning.9200037:2:pre-school.9100001:1:childrens.9200002:2:entertainment_and_comedy.9200999:2:animation],[]
b00mttnn,1236266816,1236871616,2009-03-05T15:26:56,2009-03-12T15:26:56,mister_maker:_series_2:_episode_19,video,cbeebies,bbc_one,b00hkt5c,0,[signed:1:signed.9100001:1:childrens.9200001:2:activities],[]
b007tj1q,1236278677,1236883477,2009-03-05T18:44:37,2009-03-12T18:44:37,lost,video,bbc_one,bbc_one,,0,[9100093:1:films.9100003:1:drama.9200029:2:psychological.9200034:2:thriller],[]
b00c0fjd,1236344523,1236949323,2009-03-06T13:02:03,2009-03-13T13:02:03,bargain_hunt:_series_20:_peterborough_23,video,bbc_one,bbc_one,b006nb9z,0,[9100099:1:entertainment.9200996:2:games_and_quizzes.9100005:1:factual.9300054:1:lifestyle_and_leisure.9200043:2:antiques],[]
b00j6285,1236427320,1237032120,2009-03-07T12:02:00,2009-03-14T12:02:00,down_and_safe:_a_celebration_of_blakes_7,audio,bbc_7,bbc_7,,0,[],[]
b0093zd8,1236500490,1237105290,2009-03-08T08:21:30,2009-03-15T08:21:30,get_squiggling:_series_1:_crab,video,cbeebies,bbc_two,b009069f,0,[signed:1:signed.9100001:1:childrens.9200002:2:entertainment_and_comedy.9200999:2:animation],[]
